Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides A	Peptides B	Peptides C	Razor + unique peptides A	Razor + unique peptides B	Razor + unique peptides C	Unique peptides A	Unique peptides B	Unique peptides C	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type A	Identification type B	Identification type C	Sequence coverage A [%]	Sequence coverage B [%]	Sequence coverage C [%]	Intensity	Intensity A	Intensity B	Intensity C	LFQ intensity A	LFQ intensity B	LFQ intensity C	MS/MS Count A	MS/MS Count B	MS/MS Count C	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__ENSEMBL:ENSBTAP00000007350;CON__P01030	CON__ENSEMBL:ENSBTAP00000007350;CON__P01030	2;1	2;1	2;1			>ENSEMBL:ENSBTAP00000007350 (Bos taurus) similar to Complement C4-A precursor;>P01030 SWISS-PROT:P01030 (Bos taurus) similar to Complement C4-A precursor	2	2	2	2	0	1	1	0	1	1	0	1	1	1.5	1.5	1.5	192.99	1742	1742;1741	0	14.296	By matching	By MS/MS	By MS/MS	0	0.4	1.1	0	0	0	0	0	0	0	0	1	1	2			+	0	19;43	True;True	19;45	44;99	41;91	41;91		
CON__ENSEMBL:ENSBTAP00000016285	CON__ENSEMBL:ENSBTAP00000016285	1	1	1			>ENSEMBL:ENSBTAP00000016285 (Bos taurus) similar to peptidoglycan recognition protein L	1	1	1	1	0	1	0	0	1	0	0	1	0	1.2	1.2	1.2	63.485	591	591	0	5.4943	By matching	By MS/MS	By matching	0	1.2	0	1908600	0	1908600	0	0	731890	0	0	0	0	0			+	1	13	True	13	33	31	31		
CON__ENSEMBL:ENSBTAP00000024466;CON__ENSEMBL:ENSBTAP00000024462	CON__ENSEMBL:ENSBTAP00000024466;CON__ENSEMBL:ENSBTAP00000024462	1;1	1;1	1;1			>ENSEMBL:ENSBTAP00000024466 (Bos taurus) 44 kDa protein;>ENSEMBL:ENSBTAP00000024462 (Bos taurus) 47 kDa protein	2	1	1	1	0	0	1	0	0	1	0	0	1	1.7	1.7	1.7	43.9	401	401;419	0	8.4334	By matching	By matching	By MS/MS	0	0	1.7	0	0	0	0	0	0	0	0	0	1	1			+	2	46	True	48	105	98	98		
CON__ENSEMBL:ENSBTAP00000025008	CON__ENSEMBL:ENSBTAP00000025008	1	1	1			>ENSEMBL:ENSBTAP00000025008 (Bos taurus) hypothetical protein	1	1	1	1	1	0	1	1	0	1	1	0	1	1.3	1.3	1.3	59.299	536	536	0	5.5309	By MS/MS	By matching	By matching	1.3	0	1.3	25073000	11654000	0	13418000	0	0	6737600	0	0	0	0			+	3	21	True	21	47;48	43	43		
CON__P02666	CON__P02666	1	1	1			>P02666 SWISS-PROT:P02666 Beta-casein - Bos taurus (Bovine).	1	1	1	1	0	1	0	0	1	0	0	1	0	5.3	5.3	5.3	23.583	209	209	0	5.5034	By matching	By MS/MS	By matching	0	5.3	0	1007100	0	1007100	0	0	386200	0	0	2	0	2			+	4	52	True	54	121	114;115	115		
CON__P02777	CON__P02777	1	1	1			>P02777 SWISS-PROT:P02777 (Bos taurus) similar to Platelet factor 4	1	1	1	1	0	1	0	0	1	0	0	1	0	4.3	4.3	4.3	24.241	230	230	0	5.6781	By matching	By MS/MS	By matching	0	4.3	0	943240	0	943240	0	0	361710	0	0	1	0	1			+	5	2	True	2	3	2	2		
CON__P04264	CON__P04264	2	2	2			>P04264 SWISS-PROT:P04264 Tax_Id=9606 Gene_Symbol=KRT1 Keratin, type II cytoskeletal 1	1	2	2	2	0	2	0	0	2	0	0	2	0	2.6	2.6	2.6	66.017	644	644	0	29.354	By matching	By MS/MS	By matching	0	2.6	0	4320100	0	4320100	0	0	1594900	0	0	3	0	3			+	6	36;56	True;True	37;38;58	76;77;128	69;70;122	70;122	0;1	259;262
CON__P13645;CON__P02535-1	CON__P13645;CON__P02535-1	3;2	1;1	1;1			>P13645 SWISS-PROT:P13645 Tax_Id=9606 Gene_Symbol=KRT10 Keratin, type I cytoskeletal 10;>P02535-1 SWISS-PROT:P02535-1 Tax_Id=10090 Gene_Symbol=Krt10 Isoform 1 of Keratin, type I cytoskeletal 10	2	3	1	1	0	3	0	0	1	0	0	1	0	4.4	1.5	1.5	59.51	593	593;570	0	5.6159	By matching	By MS/MS	By matching	0	4.4	0	3430600	0	3430600	0	0	1315500	0	0	1	0	1			+	7	5;28;60	False;True;False	5;28;62	6;60;153	5;50;165	5;50;165		
CON__P17690	CON__P17690	1	1	1			>P17690 SWISS-PROT:P17690 (Bos taurus) Beta-2-glycoprotein 1 precursor	1	1	1	1	0	0	1	0	0	1	0	0	1	2	2	2	38.252	345	345	0	5.9036	By matching	By matching	By MS/MS	0	0	2	0	0	0	0	0	0	0	0	0	1	1			+	8	59	True	61	152	164	164		
CON__P21578	CON__P21578	1	1	1			>P21578 SWISS-PROT:P21578|LUXY_VIBFI Yellow fluorescent protein (YFP)- Vibrio fischeri.	1	1	1	1	0	0	1	0	0	1	0	0	1	5.7	5.7	5.7	22.236	194	194	0	5.5353	By matching	By matching	By MS/MS	0	0	5.7	4697400	0	0	4697400	0	0	2358600	0	0	0	0			+	9	24	True	24	52	46	46		
